Cluster ID,Neighborhood,Neighborhood Locations,Neighborhood_Cluster,TotPop2000,black2000,white2000,hisp2000,asian2000,unemploy2000,ownership2000,rent2000,poverty2000,violentc2000,propertyc2000,woeducation2000,TotPop2010,black2010,white2010,hisp2010,asian2010,unemploy2010,ownership2010,rent200711,poverty2010,violentc2010,propertyc2010,woeducation200711
Cluster 22,Brentwood,Northeast,"Brookland, Brentwood, Langdon",8906,0.88,0.07,0.03,0.01,0.12,0.57,0.06,0.21,0.02,0.07,0.26,8459,0.78,0.14,0.06,0.02,0.12,0.58,0.1,0.23,0.02,0.06,0.18
Cluster 23,Trinidad,Northeast,"Ivy City, Arboretum, Trinidad, Carver Langston",13909,0.92,0.05,0.01,0.01,0.18,0.28,0.1,0.31,0.03,0.06,0.39,14510,0.87,0.07,0.04,0.01,0.21,0.26,0.09,0.32,0.02,0.05,0.27
Cluster 24,Woodridge,Northeast,"Woodridge, Fort Lincoln, Gateway",11348,0.94,0.02,0.03,0.01,0.12,0.62,0.02,0.15,0.01,0.06,0.27,11723,0.87,0.06,0.06,0.01,0.16,0.59,0.04,0.13,0.01,0.05,0.16
Cluster 25,Union Station,Northeast,"NoMa, Union Station, Stanton Park, Kingman Park",27370,0.67,0.29,0.03,0.02,0.09,0.5,0.06,0.17,0.02,0.06,0.21,29295,0.43,0.49,0.04,0.03,0.07,0.53,0.03,0.14,0.01,0.05,0.09
Cluster 26,Capitol Hill,Southeast,"Capitol Hill, Lincoln Park",18489,0.46,0.48,0.03,0.02,0.05,0.52,0.06,0.13,0.01,0.05,0.14,20909,0.35,0.56,0.05,0.03,0.04,0.57,0.05,0.06,0.01,0.04,0.09
Cluster 27,Navy Yard,Southeast,"Near Southeast, Navy Yard",4633,0.89,0.07,0.03,0.01,0.22,0.17,0.04,0.5,0.04,0.14,0.44,5705,0.46,0.44,0.06,0.05,0.14,0.34,0.09,0.34,0.01,0.05,0.17
Cluster 28,Historic Anacostia,Southeast,Historic Anacostia,4873,0.97,0.02,0,0,0.22,0.26,0.14,0.38,0.02,0.05,0.33,4876,0.97,0.01,0.01,0,0.17,0.21,0.1,0.44,0.03,0.04,0.25
Cluster 29,Kenilworth,Northeast,"Eastland Gardens, Kenilworth",2374,0.97,0,0.01,0.01,0.21,0.43,0.11,0.28,0.02,0.04,0.31,2445,0.97,0.01,0.02,0,0.16,0.38,0,0.41,0.01,0.06,0.24
Cluster 30,Mahaning Heights,Northeast,"Mayfair, Hillbrook, Mahaning Heights",6167,0.98,0.01,0.01,0,0.14,0.29,0.1,0.29,0.02,0.05,0.33,6573,0.97,0.01,0.02,0,0.25,0.25,0.05,0.32,0.02,0.05,0.18
Cluster 31,Lincoln Heights,Northeast,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",14113,0.98,0.01,0.01,0,0.17,0.46,0.08,0.29,0.02,0.05,0.35,14500,0.96,0.01,0.03,0,0.22,0.39,0.08,0.34,0.03,0.06,0.23
Cluster 32,Fort Dupont,Northeast,"River Terrace, Benning, Greenway, Fort Dupont",12493,0.97,0,0.01,0,0.13,0.31,0.07,0.25,0.02,0.05,0.3,13008,0.96,0.01,0.03,0,0.17,0.37,0.09,0.24,0.02,0.04,0.15
Cluster 33,Marshall Heights,Northeast,"Capitol View, Marshall Heights, Benning Heights",15080,0.99,0,0,0.01,0.18,0.37,0.12,0.33,0.02,0.04,0.33,14888,0.96,0.01,0.03,0,0.19,0.4,0.08,0.22,0.02,0.03,0.17
Cluster 34,Fairlawn,Southeast,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Dupont Park",15536,0.97,0.02,0.01,0,0.13,0.49,0.11,0.16,0.02,0.05,0.25,14963,0.96,0.02,0.02,0,0.18,0.5,0.09,0.21,0.01,0.04,0.15
Cluster 35,Hillcrest,Southeast,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",8025,0.93,0.05,0.01,0,0.08,0.44,0.06,0.15,0.01,0.05,0.18,7688,0.93,0.05,0.02,0,0.13,0.43,0.03,0.17,0.01,0.04,0.1
Cluster 36,Knox Hill,Southeast,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",6395,0.99,0.01,0,0,0.22,0.15,0.13,0.47,0.03,0.03,0.35,7572,0.98,0.01,0.01,0,0.2,0.19,0.06,0.45,0.02,0.03,0.21
Cluster 37,Buena Vista,Southeast,"Sheridan, Barry Farm, Buena Vista",8596,0.99,0.01,0,0,0.26,0.15,0.07,0.46,0.03,0.03,0.4,8071,0.97,0.01,0.02,0,0.23,0.17,0.06,0.41,0.02,0.04,0.24
Cluster 38,Shipley Terrace,Southeast," Douglass, Shipley Terrace",9058,0.99,0,0.01,0,0.28,0.13,0.06,0.46,0.02,0.03,0.44,9710,0.98,0.01,0.01,0,0.21,0.14,0.04,0.38,0.02,0.04,0.21
Cluster 39,Bellevue,Southeast,"Congress Heights, Bellevue, Washington Highlands",30583,0.97,0.01,0.01,0.01,0.2,0.24,0.13,0.34,0.03,0.04,0.33,30959,0.97,0.01,0.01,0,0.25,0.26,0.09,0.36,0.02,0.05,0.19
