GIS_ID,Neighborhood Locations,Neighborhoods,CLUSTER,TotPop,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,Total%Pop,PctUnemployed,AvgFamilyIncAdj,NumOccupiedHsgUnits,PctOwnerOccupiedHsgUnits,PctPoorPersons,Rate of Violent Crimes,Property Crimes,Year
Nbclus_019,Northeast,"Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,13206,0.7,0.17,0.11,0.016,0.996,0.091,75912,5101,0.53,0.14,6.4,26,1/1/2010
Nbclus_019,Northeast,"Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,12069,0.79,0.16,0.021,0.021,0.992,0.2,78880,4887,0.52,0.1,5.9,26,1/1/2000
Nbclus_019,Northeast,"Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,13768,0.8,0.16,0.02,0.009,0.989,0.072,80709,5010,0.5,0.075,,,1/1/1990
Nbclus_002,Northwest,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,47378,0.38,0.31,0.27,0.044,1.004,0.08,87204,19514,0.32,0.17,13,42,1/1/2010
Nbclus_002,Northwest,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,46779,0.53,0.13,0.3,0.032,0.992,0.097,63766,17458,0.26,0.26,16,43,1/1/2000
Nbclus_002,Northwest,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,45728,0.66,0.11,0.21,0.016,0.996,0.086,56232,17275,0.26,0.24,,,1/1/1990
Nbclus_020,Northeast,"North Michigan Park, Michigan Park, University Heights",Cluster 20,8875,0.81,0.12,0.045,0.015,0.99,0.16,87062,3712,0.76,0.11,7,28,1/1/2010
Nbclus_020,Northeast,"North Michigan Park, Michigan Park, University Heights",Cluster 20,9576,0.86,0.095,0.04,0.006,1.001,0.091,90087,3758,0.79,0.087,7.1,28,1/1/2000
Nbclus_020,Northeast,"North Michigan Park, Michigan Park, University Heights",Cluster 20,9718,0.84,0.14,0.015,0.007,1.002,0.048,101989,3786,0.79,0.044,,,1/1/1990
Nbclus_021,Northeast,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,19481,0.7,0.2,0.07,0.023,0.993,0.14,91520,8073,0.49,0.17,14,39,1/1/2010
Nbclus_021,Northeast,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,18429,0.92,0.04,0.037,0.002,0.999,0.15,62996,7018,0.45,0.23,19,43,1/1/2000
Nbclus_021,Northeast,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,20862,0.9,0.071,0.018,0.006,0.995,0.11,66251,7550,0.44,0.17,,,1/1/1990
Nbclus_022,Northeast,"Brookland, Brentwood, Langdon",Cluster 22,8459,0.78,0.14,0.061,0.015,0.996,0.12,81931,3284,0.58,0.23,15,60,1/1/2010
Nbclus_022,Northeast,"Brookland, Brentwood, Langdon",Cluster 22,8906,0.88,0.073,0.026,0.008,0.987,0.12,77515,3250,0.57,0.21,21,67,1/1/2000
Nbclus_022,Northeast,"Brookland, Brentwood, Langdon",Cluster 22,10065,0.89,0.082,0.017,0.007,0.996,0.1,71219,3620,0.53,0.16,,,1/1/1990
Nbclus_023,Northeast,"Ivy City, Arboretum, Trinidad, Carver Langston",Cluster 23,14510,0.87,0.071,0.041,0.01,0.992,0.21,48388,5973,0.26,0.32,22,51,1/1/2010
Nbclus_023,Northeast,"Ivy City, Arboretum, Trinidad, Carver Langston",Cluster 23,13909,0.92,0.051,0.013,0.009,0.993,0.18,49107,5559,0.28,0.31,34,62,1/1/2000
Nbclus_023,Northeast,"Ivy City, Arboretum, Trinidad, Carver Langston",Cluster 23,17270,0.96,0.031,0.004,0.003,0.998,0.11,50306,7021,0.23,0.23,,,1/1/1990
Nbclus_024,Northeast,"Woodridge, Fort Lincoln, Gateway",Cluster 24,11723,0.87,0.055,0.058,0.012,0.995,0.16,97305,4919,0.59,0.13,9.5,51,1/1/2010
Nbclus_024,Northeast,"Woodridge, Fort Lincoln, Gateway",Cluster 24,11348,0.94,0.022,0.028,0.008,0.998,0.12,85450,4865,0.62,0.15,14,61,1/1/2000
Nbclus_024,Northeast,"Woodridge, Fort Lincoln, Gateway",Cluster 24,11876,0.94,0.036,0.009,0.002,0.987,0.087,83898,4808,0.64,0.11,,,1/1/1990
Nbclus_025,Northeast,"NoMa, Union Station, Stanton Park, Kingman Park",Cluster 25,29295,0.43,0.49,0.043,0.032,0.995,0.069,129089,13541,0.53,0.14,12,48,1/1/2010
Nbclus_025,Northeast,"NoMa, Union Station, Stanton Park, Kingman Park",Cluster 25,27370,0.67,0.29,0.025,0.015,1,0.094,89673,12558,0.5,0.17,22,63,1/1/2000
